iter	Logloss
0	0.6392980933
1	0.593303401
2	0.5518639078
3	0.5134016852
4	0.4756925279
5	0.4444226779
6	0.4129710714
7	0.3881788431
8	0.3647408875
9	0.3426410912
10	0.3240703669
11	0.3051773498
12	0.2905987091
13	0.2753300615
14	0.2613970998
15	0.2484503507
16	0.2373459836
17	0.226148643
18	0.2167075913
19	0.208259729
20	0.2018531668
21	0.1940069748
22	0.1887552692
23	0.1827412509
24	0.1766096543
25	0.1712165567
26	0.1674526808
27	0.1641263501
28	0.1609828642
29	0.1573871406
30	0.1537049604
31	0.1512495669
32	0.1484541752
33	0.145789198
34	0.1436073984
35	0.1411327586
36	0.1388312437
37	0.1368026815
38	0.1348124021
39	0.1334139323
40	0.1320565508
41	0.1310533896
42	0.1297305194
43	0.1289509756
44	0.1281446977
45	0.1270046845
46	0.1258629228
47	0.1248023961
48	0.1239453491
49	0.1231471406
50	0.1225479225
51	0.1218765265
52	0.1211655052
53	0.1208282754
54	0.1201577695
55	0.1195620269
56	0.1192447021
57	0.1186675435
58	0.1183347809
59	0.1178091699
60	0.1173369099
61	0.1169447412
62	0.1165525214
63	0.1163556334
64	0.1160468478
65	0.1158226342
66	0.1154755178
67	0.1152390765
68	0.1149536912
69	0.1147052518
70	0.1144479034
71	0.1142063053
72	0.1140284969
73	0.1139111474
74	0.1137181494
75	0.1135083933
76	0.1133871123
77	0.1132302197
78	0.1131470635
79	0.1130117667
80	0.1129066685
81	0.1127460686
82	0.1125900301
83	0.1124545357
84	0.1123260061
85	0.1121906093
86	0.1120570565
87	0.111936994
88	0.111839877
89	0.1117584809
90	0.1116440027
91	0.1115470931
92	0.1114439476
93	0.1113201727
94	0.1112300102
95	0.1111488005
96	0.1110720547
97	0.1110082249
98	0.1109217962
99	0.1108435077
100	0.1107831233
101	0.110722185
102	0.1106726702
103	0.1105789978
104	0.1105040672
105	0.110425422
106	0.1103636643
107	0.1103005359
108	0.1102520344
109	0.1101975337
110	0.1101868368
111	0.1101236909
112	0.1100773095
113	0.110013371
114	0.1099617306
115	0.1099096889
116	0.1098526467
117	0.1098192065
118	0.1097681681
119	0.1097275565
120	0.1096782271
121	0.1096391754
122	0.1095954696
123	0.1095601972
124	0.1095276692
125	0.1095196887
126	0.1094727323
127	0.1094157305
128	0.1093620796
129	0.1093070975
130	0.1092738812
131	0.1092332046
132	0.1091842666
133	0.1091482895
134	0.1091067909
135	0.1090796969
136	0.1090514482
137	0.1090043932
138	0.108961872
139	0.1089373152
140	0.1089053938
141	0.1088679782
142	0.1088418357
143	0.1087970897
144	0.1087736649
145	0.1087356276
146	0.1087014475
147	0.1086778432
148	0.1086440436
149	0.1085993692
150	0.1085751222
151	0.1085528628
152	0.1085304577
153	0.1085057612
154	0.1084748307
155	0.1084217157
156	0.1083871364
157	0.1083569635
158	0.1083170647
159	0.1082808534
160	0.1082579923
161	0.1082329646
162	0.1082142733
163	0.1081694165
164	0.1081492462
165	0.1081214777
166	0.1081065779
167	0.1080747228
168	0.1080303539
169	0.1079819594
170	0.107949615
171	0.1079241338
172	0.1079038827
173	0.1078744394
174	0.1078424813
175	0.107819554
176	0.1077765094
177	0.1077613533
178	0.1077370378
179	0.1077025233
180	0.1076647408
181	0.1076383072
182	0.107602435
183	0.1075600992
184	0.1075251673
185	0.1075068241
186	0.1074661729
187	0.1074474625
188	0.1074283852
189	0.1074120974
190	0.1073893027
191	0.1073610835
192	0.1073385791
193	0.1073130981
194	0.1072939712
195	0.107271674
196	0.1072498735
197	0.1072264121
198	0.1071965099
199	0.1071750219
200	0.1071459956
201	0.1071288862
202	0.1071037395
203	0.1070857691
204	0.1070624932
205	0.1070422938
206	0.1070165407
207	0.1069971976
208	0.1069641062
209	0.1069379562
210	0.1069038451
211	0.1068796455
212	0.1068552286
213	0.1068275212
214	0.1068139975
215	0.1067897198
216	0.1067741162
217	0.1067507244
218	0.106747524
219	0.1067237956
220	0.10672345
221	0.1066972456
222	0.1066713508
223	0.106657313
224	0.1066330675
225	0.1066091632
226	0.1065938634
227	0.1065690194
228	0.1065409836
229	0.106521363
230	0.106499922
231	0.1064883146
232	0.1064604889
233	0.1064429261
234	0.1064236879
235	0.1064144602
236	0.1063985142
237	0.1063708572
238	0.1063522003
239	0.1063362275
240	0.1063170613
241	0.1062862644
242	0.1062666193
243	0.1062306506
244	0.1062181051
245	0.1062062348
246	0.1061837628
247	0.1061545874
248	0.1061346246
249	0.1061167979
250	0.1060997446
251	0.1060735682
252	0.1060548684
253	0.1060291726
254	0.1059910605
255	0.1059637388
256	0.105930051
257	0.1059044615
258	0.1058829547
259	0.1058554456
260	0.1058389925
261	0.105836281
262	0.1057978064
263	0.1057788128
264	0.1057634332
265	0.1057404731
266	0.1057252576
267	0.1057108571
268	0.1056987365
269	0.1056800713
270	0.1056552857
271	0.1056331525
272	0.1056175218
273	0.1055914997
274	0.1055583759
275	0.105541827
276	0.1055193626
277	0.1054919756
278	0.1054562353
279	0.1054246954
280	0.1054218974
281	0.1054105712
282	0.1053899571
283	0.1053653297
284	0.1053528165
285	0.1053416433
286	0.1053256213
287	0.1053027955
288	0.1052796858
289	0.1052643569
290	0.1052378648
291	0.1052243535
292	0.1051962601
293	0.1051742328
294	0.1051565316
295	0.1051430038
296	0.1051097741
297	0.1050967692
298	0.105058345
299	0.1050352685
300	0.1050153336
301	0.1049940463
302	0.1049853007
303	0.1049577681
304	0.1049269639
305	0.104903532
306	0.1048892868
307	0.104864528
308	0.1048413663
309	0.1048284527
310	0.10481652
311	0.1047988567
312	0.1047791745
313	0.1047532624
314	0.1047330373
315	0.104713158
316	0.104703992
317	0.1046790915
318	0.1046655436
319	0.1046552362
320	0.1046249894
321	0.1046109899
322	0.1045863608
323	0.1045618451
324	0.1045343018
325	0.1045064195
326	0.1044829542
327	0.1044693586
328	0.1044622841
329	0.1044397442
330	0.1044193309
331	0.104403309
332	0.1043733066
333	0.1043544767
334	0.1043376081
335	0.1043181826
336	0.1042910249
337	0.1042749043
338	0.1042480146
339	0.1042274032
340	0.1042140606
341	0.1041885476
342	0.1041514892
343	0.1041423028
344	0.1041154567
345	0.1040972983
346	0.1040697546
347	0.1040523401
348	0.1040356679
349	0.1040141036
350	0.1039897893
351	0.1039690234
352	0.1039560738
353	0.1039318265
354	0.1039009289
355	0.1038777373
356	0.1038597038
357	0.1038433107
358	0.1038206035
359	0.1037899177
360	0.1037626234
361	0.1037484634
362	0.1037326572
363	0.1037245296
364	0.1037077421
365	0.1036861139
366	0.1036599977
367	0.1036372693
368	0.1036128505
369	0.1035931932
370	0.1035839985
371	0.1035550723
372	0.1035388007
373	0.1035265329
374	0.1035047957
375	0.1034834556
376	0.1034558404
377	0.1034324531
378	0.1034201806
379	0.1034055346
380	0.1033970615
381	0.103372057
382	0.1033404082
383	0.1033157251
384	0.1033033594
385	0.1032840515
386	0.103267185
387	0.1032496322
388	0.1032223013
389	0.1032089508
390	0.1031765219
391	0.1031540911
392	0.1031290898
393	0.1031127506
394	0.1030782021
395	0.1030678554
396	0.1030587134
397	0.103041369
398	0.1030171809
399	0.1029940638
400	0.1029706728
401	0.1029421749
402	0.1029226235
403	0.1029006555
404	0.102883371
405	0.1028581036
406	0.1028474489
407	0.1028271347
408	0.102802874
409	0.1027846646
410	0.1027745194
411	0.1027514176
412	0.102721954
413	0.1027143568
414	0.1026990348
415	0.1026905815
416	0.1026737739
417	0.1026532744
418	0.1026311498
419	0.1026163556
420	0.1026070203
421	0.1025980081
422	0.1025749063
423	0.1025546256
424	0.1025306476
425	0.1025108941
426	0.102484864
427	0.1024600006
428	0.1024305651
429	0.1024227901
430	0.1023961143
431	0.1023836953
432	0.1023572603
433	0.1023341004
434	0.1023130215
435	0.1022949008
436	0.1022756969
437	0.1022690616
438	0.1022522011
439	0.1022306915
440	0.1022148072
441	0.1021960264
442	0.1021711961
443	0.1021543369
444	0.1021323563
445	0.1021145615
446	0.1020983744
447	0.1020706153
448	0.1020562882
449	0.102040888
450	0.1020333334
451	0.1020016835
452	0.1019782935
453	0.1019484399
454	0.1019412089
455	0.1019104398
