iter	Passed	Remaining
400	24640	97947
401	24702	97887
402	24776	97878
403	24794	97645
404	24878	97672
405	24927	97559
406	25001	97548
407	25028	97352
408	25098	97327
409	25120	97111
410	25178	97036
411	25256	97040
412	25345	97085
413	25357	96834
414	25373	96602
415	25392	96380
416	25414	96173
417	25498	96198
418	25563	96154
419	25614	96053
420	25692	96058
421	25766	96045
422	25824	95971
423	25881	95894
424	25937	95818
425	25972	95659
426	25986	95426
427	26039	95334
428	26108	95303
429	26119	95063
430	26143	94869
431	26217	94857
432	26285	94823
433	26297	94587
434	26309	94351
435	26331	94151
436	26343	93919
437	26415	93902
438	26427	93670
439	26486	93605
440	26572	93636
441	26657	93663
442	26735	93664
443	26804	93635
444	26816	93405
445	26827	93175
446	26906	93179
447	26982	93175
448	27034	93087
449	27110	93079
450	27125	92865
451	27207	92877
452	27219	92653
453	27240	92463
454	27301	92405
455	27313	92184
456	27390	92181
457	27417	92009
458	27429	91790
459	27448	91595
460	27460	91375
461	27538	91377
462	27587	91284
463	27601	91071
464	27663	91020
465	27716	90940
466	27787	90918
467	27801	90709
468	27878	90709
469	27902	90536
470	27914	90322
471	27929	90118
472	27993	90077
473	28060	90042
474	28078	89850
475	28152	89838
476	28166	89636
477	28178	89427
478	28250	89410
479	28311	89358
480	28384	89344
481	28402	89156
482	28427	88991
483	28502	88981
484	28571	88955
485	28645	88944
486	28693	88850
487	28765	88829
488	28776	88625
489	28790	88428
490	28820	88281
491	28892	88263
492	28906	88068
493	28980	88056
494	29058	88057
495	29100	87947
496	29175	87938
497	29223	87845
498	29248	87686
499	29319	87665
500	29336	87482
501	29350	87292
502	29372	87125
503	29451	87128
504	29483	86991
505	29538	86921
506	29597	86865
507	29639	86760
508	29709	86734
509	29787	86735
510	29813	86580
511	29829	86401
512	29868	86286
513	29894	86136
514	29958	86093
515	30032	86081
516	30095	86036
517	30163	86006
518	30242	86006
519	30304	85961
520	30348	85861
521	30382	85735
522	30411	85594
523	30496	85612
524	30526	85474
525	30603	85469
526	30682	85467
527	30753	85444
528	30819	85408
529	30895	85399
530	30928	85270
531	30958	85135
532	30981	84981
533	31066	84997
534	31112	84904
535	31174	84856
536	31221	84768
537	31303	84776
538	31386	84784
539	31421	84663
540	31496	84651
541	31535	84540
542	31613	84534
543	31643	84402
544	31671	84264
545	31703	84134
546	31813	84215
547	31845	84087
548	31925	84086
549	31964	83979
550	32048	83989
551	32080	83862
552	32110	83731
553	32147	83619
554	32184	83504
555	32211	83367
556	32263	83294
557	32302	83186
558	32342	83084
559	32458	83175
560	32564	83239
561	32643	83236
562	32677	83115
563	32702	82973
564	32776	82956
565	32805	82826
566	32872	82791
567	32898	82651
568	32967	82622
569	32993	82484
570	33021	82351
571	33098	82340
572	33128	82215
573	33154	82078
574	33179	81937
575	33209	81812
576	33277	81780
577	33325	81699
578	33401	81686
579	33458	81627
580	33485	81493
581	33511	81360
582	33562	81286
583	33611	81208
584	33684	81189
585	33713	81062
586	33759	80976
587	33786	80846
588	33812	80713
589	33839	80584
590	33919	80580
591	33950	80460
592	34025	80443
593	34096	80419
594	34129	80305
595	34155	80172
596	34180	80040
597	34208	79916
598	34234	79784
599	34306	79763
600	34332	79634
601	34409	79623
602	34439	79502
603	34514	79486
604	34592	79476
605	34639	79395
606	34704	79357
607	34731	79230
608	34774	79142
609	34851	79129
610	34880	79009
611	34909	78888
612	34935	78761
613	34967	78647
614	34991	78517
615	35041	78444
616	35113	78422
617	35187	78403
618	35234	78323
619	35259	78196
620	35285	78070
621	35360	78053
622	35434	78035
623	35464	77920
624	35543	77912
625	35622	77902
626	35652	77786
627	35681	77670
628	35710	77551
629	35789	77543
630	35868	77535
631	35896	77415
632	35933	77315
633	35993	77266
634	36063	77239
635	36134	77212
636	36208	77191
637	36285	77177
638	36388	77218
639	36446	77164
640	36516	77134
641	36572	77075
642	36598	76954
643	36672	76932
644	36777	76975
645	36861	76974
646	36918	76918
647	36984	76878
648	37017	76773
649	37054	76675
650	37131	76658
651	37185	76596
652	37268	76591
653	37293	76469
654	37361	76433
655	37439	76419
656	37464	76297
657	37543	76284
658	37603	76234
659	37680	76217
660	37760	76205
661	37837	76188
662	37870	76084
663	37940	76051
664	38022	76045
665	38086	76000
666	38167	75991
667	38198	75881
668	38224	75764
669	38303	75749
670	38371	75713
671	38411	75621
672	38477	75583
673	38564	75583
674	38639	75562
675	38713	75537
676	38789	75515
677	38861	75488
678	38899	75392
679	38985	75390
680	39027	75303
681	39087	75252
682	39152	75210
683	39228	75188
684	39301	75160
685	39354	75094
686	39391	74997
687	39467	74976
688	39542	74952
689	39572	74844
690	39650	74825
691	39682	74720
692	39723	74632
693	39771	74556
694	39872	74581
695	39917	74500
696	39983	74460
697	40028	74378
698	40111	74370
699	40174	74323
700	40225	74253
701	40292	74214
702	40321	74104
703	40353	73999
704	40388	73902
705	40416	73791
706	40491	73765
707	40566	73742
708	40652	73736
709	40730	73716
710	40813	73705
711	40890	73683
712	40969	73665
713	41032	73616
714	41062	73510
715	41128	73469
716	41205	73445
717	41259	73381
718	41336	73358
719	41386	73288
720	41427	73201
721	41487	73149
722	41523	73053
723	41549	72941
724	41575	72828
725	41617	72743
726	41697	72726
727	41733	72632
728	41811	72610
729	41876	72566
730	41952	72542
731	42004	72475
732	42067	72426
733	42097	72322
734	42162	72277
735	42239	72254
736	42318	72235
737	42399	72216
738	42445	72140
739	42500	72078
740	42583	72064
741	42660	72039
742	42726	71996
743	42800	71966
744	42821	71847
745	42867	71770
746	42944	71746
747	43014	71709
748	43090	71682
749	43166	71656
750	43237	71620
751	43313	71594
752	43389	71566
753	43468	71544
754	43500	71443
755	43528	71338
756	43553	71228
757	43627	71196
758	43690	71148
759	43760	71110
760	43830	71073
761	43905	71044
762	43974	71005
763	44018	70924
764	44086	70884
765	44136	70814
766	44208	70780
767	44245	70689
768	44325	70667
769	44398	70634
770	44437	70547
771	44512	70516
772	44587	70486
773	44660	70453
774	44712	70386
775	44780	70345
776	44814	70250
777	44888	70216
778	44947	70161
779	45002	70100
780	45084	70080
781	45136	70013
782	45214	69986
783	45255	69903
784	45338	69884
785	45420	69864
786	45500	69840
787	45575	69808
788	45627	69742
789	45702	69711
790	45751	69639
791	45822	69601
792	45897	69569
793	45923	69463
794	45987	69415
795	46058	69376
796	46140	69355
797	46195	69293
798	46272	69264
799	46317	69187
800	46386	69145
801	46434	69073
802	46500	69026
803	46561	68972
804	46639	68945
805	46709	68905
806	46780	68867
807	46848	68822
808	46894	68747
809	46919	68641
810	46996	68612
811	47071	68577
812	47139	68535
813	47198	68477
814	47273	68444
815	47345	68407
816	47421	68375
817	47467	68300
818	47504	68210
819	47578	68176
820	47618	68092
821	47691	68056
822	47760	68013
823	47838	67984
824	47907	67942
825	47984	67910
826	48044	67854
827	48116	67815
828	48154	67729
829	48203	67659
830	48281	67628
831	48346	67579
832	48409	67529
833	48477	67484
834	48553	67452
835	48630	67418
836	48710	67391
837	48778	67347
838	48857	67316
839	48929	67277
840	49004	67243
841	49075	67201
842	49143	67156
843	49189	67081
844	49275	67061
845	49349	67023
846	49422	66986
847	49503	66958
848	49581	66926
849	49656	66890
850	49724	66845
851	49791	66798
852	49837	66722
853	49895	66664
854	49939	66586
855	50017	66554
856	50053	66465
857	50126	66425
858	50209	66400
859	50271	66346
860	50345	66308
861	50416	66266
862	50492	66231
863	50561	66185
864	50637	66150
865	50717	66119
866	50784	66073
867	50825	65991
868	50872	65918
869	50951	65885
870	51038	65863
871	51115	65829
872	51185	65785
873	51258	65745
874	51334	65708
875	51409	65670
876	51484	65632
877	51562	65598
878	51629	65550
879	51694	65498
880	51775	65468
881	51858	65440
882	51916	65380
883	51991	65341
884	52068	65306
885	52147	65272
886	52222	65233
887	52299	65197
888	52372	65156
889	52445	65115
890	52522	65078
891	52596	65037
892	52674	65003
893	52736	64947
894	52797	64890
895	52869	64847
896	52934	64796
897	53010	64757
898	53093	64728
899	53161	64680
900	53218	64618
901	53293	64577
902	53371	64542
903	53448	64504
904	53530	64473
905	53599	64425
906	53660	64368
907	53740	64334
908	53793	64267
909	53855	64212
910	53906	64143
911	53982	64104
912	54042	64045
913	54120	64008
914	54202	63977
915	54293	63955
916	54341	63882
917	54408	63831
918	54481	63789
919	54556	63748
920	54623	63698
921	54677	63632
922	54711	63543
923	54755	63466
924	54843	63440
925	54924	63406
926	55006	63372
927	55070	63318
928	55108	63235
929	55182	63192
930	55277	63174
931	55360	63141
932	55442	63108
933	55507	63054
934	55588	63020
935	55675	62991
936	55750	62949
937	55825	62908
938	55916	62884
939	55984	62833
940	56053	62784
941	56118	62731
942	56181	62675
943	56258	62634
944	56311	62568
945	56363	62499
946	56442	62462
947	56482	62380
948	56547	62327
949	56601	62261
950	56673	62215
951	56744	62168
952	56824	62131
953	56875	62062
954	56937	62004
955	57016	61966
956	57083	61914
957	57157	61871
958	57280	61879
959	57355	61836
960	57421	61782
961	57495	61739
962	57563	61687
963	57633	61639
964	57709	61596
965	57789	61557
966	57867	61517
967	57944	61476
968	58006	61419
969	58075	61368
970	58137	61311
971	58212	61266
972	58269	61203
973	58334	61149
974	58393	61088
975	58428	61003
976	58484	60938
977	58539	60873
978	58581	60795
979	58630	60724
980	58713	60688
981	58792	60648
982	58860	60597
983	58935	60552
984	59017	60515
985	59068	60446
986	59132	60390
987	59210	60348
988	59284	60303
989	59364	60264
990	59444	60224
991	59519	60179
992	59600	60140
993	59651	60071
994	59726	60026
995	59768	59948
996	59846	59906
997	59919	59859
998	59981	59801
999	60028	59728
1000	60099	59679
1001	60172	59632
1002	60238	59577
1003	60289	59509
1004	60328	59428
1005	60408	59388
1006	60495	59353
1007	60567	59305
1008	60637	59255
1009	60715	59212
1010	60782	59159
1011	60859	59115
1012	60927	59062
1013	60977	58993
1014	61041	58936
1015	61107	58881
1016	61156	58811
1017	61224	58758
1018	61303	58716
1019	61365	58658
1020	61463	58634
1021	61542	58591
1022	61593	58522
1023	61632	58442
1024	61708	58397
1025	61749	58319
1026	61805	58254
1027	61875	58204
1028	61955	58162
1029	62019	58106
1030	62098	58063
1031	62179	58022
1032	62242	57964
1033	62315	57916
1034	62393	57872
1035	62462	57819
1036	62534	57770
1037	62599	57714
1038	62647	57642
1039	62721	57595
1040	62779	57532
1041	62858	57489
1042	62936	57445
1043	63004	57392
1044	63079	57344
1045	63132	57277
1046	63177	57203
1047	63245	57150
1048	63319	57102
1049	63390	57051
1050	63452	56992
1051	63532	56949
1052	63604	56899
1053	63680	56853
1054	63754	56804
1055	63833	56760
1056	63908	56713
1057	63975	56658
1058	64009	56574
1059	64067	56512
1060	64127	56451
1061	64173	56378
1062	64278	56357
1063	64341	56299
1064	64394	56231
1065	64453	56169
1066	64512	56108
1067	64546	56025
1068	64624	55979
1069	64697	55930
1070	64746	55859
1071	64821	55811
1072	64889	55757
1073	64966	55711
1074	65024	55648
1075	65100	55601
1076	65180	55557
1077	65254	55508
1078	65331	55462
1079	65394	55403
1080	65473	55358
1081	65543	55305
1082	65621	55260
1083	65696	55211
1084	65748	55144
1085	65825	55097
1086	65876	55028
1087	65945	54975
1088	65998	54908
1089	66073	54858
1090	66129	54795
1091	66199	54741
1092	66278	54696
1093	66358	54651
1094	66406	54580
1095	66486	54536
1096	66565	54489
1097	66645	54445
1098	66718	54395
1099	66795	54347
1100	66859	54288
1101	66934	54240
1102	67016	54196
1103	67085	54142
1104	67164	54096
1105	67219	54030
1106	67277	53967
